t,velocity,center,max_x,max_y,min_y,max_y_Axi,min_y_Axi,ratio,area,R_eq,E_k,E_P,E_e,E_s,Int_Ee
0.0,3.803e-05,2.0,1.0,0.99999923,3.00000077,-0.99999923,-3.00000077,0.99999923,4.18872625,0.99999491,0.0,0.03793645000000012,6.38e-06,125.66274681,0.0
0.01,0.01859386,1.99990684,1.00000071,0.99988548,2.99993213,-0.99988548,-2.99993213,0.99997738,4.18872625,0.99999491,0.00038627,0.03754621000000036,0.00076993,125.6627468,2.68e-06
0.02,0.03700083,1.99962867,1.00000289,0.99961697,2.99965598,-0.99961697,-2.99965598,0.99998338,4.18872625,0.99999491,0.00153044,0.03638102999999937,0.00287326,125.66274678,1.993e-05
0.03,0.0552363,1.99916728,1.00000664,0.99917427,2.99919468,-0.99917427,-2.99919468,0.99999643,4.18872624,0.99999491,0.00341236,0.03444840000000049,0.00619683,125.66274663,6.458e-05
0.04,0.07330701,1.99852434,1.00001211,0.998558,2.9985499,-0.998558,-2.9985499,1.00001616,4.18872623,0.99999491,0.00601315,0.03175525999999884,0.01066773,125.66274644,0.00014826
0.05,0.09121771,1.99770158,1.00001952,0.99776922,2.99772273,-0.99776922,-2.99772273,1.00004276,4.18872616,0.9999949,0.00931484,0.028308810000000406,0.01622852,125.66274531,0.00028294
0.06,0.10897173,1.99670047,1.00002908,0.9968089,2.99671384,-0.9968089,-2.99671384,1.00007661,4.18872608,0.9999949,0.01330012,0.024115280000000183,0.02282752,125.66274394,0.00047846
0.07,0.12657185,1.99552255,1.00004104,0.99567818,2.99552378,-0.99567818,-2.99552378,1.00011825,4.18872599,0.99999489,0.0179523,0.01918111999999894,0.03041956,125.66274257,0.00074489
0.08,0.14402042,1.99416937,1.00005568,0.99437833,2.99415296,-0.99437833,-2.99415296,1.00016839,4.18872588,0.99999488,0.02325525,0.013512799999999103,0.03896371,125.66274098,0.00109207
0.09,0.16131963,1.99264263,1.00007333,0.99291094,2.99260174,-0.99291094,-2.99260174,1.00022796,4.1887256,0.99999486,0.02919339,0.007117140000000077,0.04842292,125.66273625,0.00153051
0.1,0.17847089,1.99094369,1.00009424,0.99127742,2.99087036,-0.99127742,-2.99087036,1.00029782,4.18872522,0.99999483,0.03575143,0.0,0.05876102,125.66272994,0.00206841
